id,medical_record_id,item_type,consultation_id,procedure_id,medicine_id,is_selected,status,content,memo,admin_route,is_insurance,unit_price,quantity,discount_rate,discount_amount,inventory_id,sort_order,created_at,updated_at,deleted_at,dose_weight_kg,dose_weight_source,dose_amount_mg,dose_amount_unit,dose_param_snapshot
11,24,medicine,,,104,t,completed,プレドニゾロン 5mg x 7日分,"","",f,420,7.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
12,25,consultation,7,,,t,completed,再診料,"","",f,900,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
13,25,medicine,,,101,t,completed,アモキシシリン 50mg x 5日分,"","",f,520,5.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
14,29,consultation,9,,,t,completed,初診料,"","",f,1900,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
15,30,consultation,10,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
16,32,consultation,10,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
17,32,medicine,,,201,t,completed,アモキシシリン 50mg x 5日分,"","",f,510,5.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
18,35,procedure,,27,,t,completed,耳道洗浄・点耳薬処置,"","",f,2600,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
100,61,consultation,1,,,t,completed,初診料,"","",f,1500,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
101,61,other,,,,t,completed,5種混合ワクチン,"","",f,3000,1.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
102,62,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
103,62,procedure,,13019,,t,completed,耳道洗浄,"","",f,2500,1.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
104,63,consultation,2,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
105,63,procedure,,13016,,t,completed,皮下補液,"","",f,3500,1.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
106,74,consultation,4,,,t,completed,夜間緊急診察料,"","",f,10000,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
107,74,procedure,,13029,,t,completed,静脈確保・採血,"","",f,3000,1.00,0.00,0,,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
301,301,consultation,7,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
302,302,consultation,6,,,t,completed,初診料,"","",f,1900,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
401,401,consultation,10,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
402,402,consultation,10,,,t,completed,再診料,"","",f,800,1.00,0.00,0,,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,,,,,
403,1035,consultation,,,,t,pending,再診料,"","",f,900,1.00,0.00,0,,0,2026-06-15 13:32:40.53526+09,2026-06-15 13:32:40.53526+09,,,,,,
