id,clinic_id,record_no,date,owner_id,pet_id,doctor_id,appointment_id,status,version,entered_by,next_visit_recommended_date,recommendation_reason,visit_type,created_at,updated_at,deleted_at
24,2,C-2026-001,2026-03-20,26,33,18,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,C-2025-004,2026-02-10,27,34,16,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,2,C-2025-005,2025-11-15,28,35,17,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,2,C-2026-002,2026-03-27,29,37,16,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,2,C-2026-003,2026-05-02,30,38,18,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,3,S-2025-001,2025-12-15,31,39,26,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,3,S-2025-002,2026-02-27,32,40,27,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,3,S-2026-001,2026-03-20,33,41,26,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,3,S-2026-002,2026-04-27,34,42,27,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,3,S-2025-003,2025-11-30,35,44,26,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,3,S-2026-003,2026-05-11,36,45,26,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,3,S-2025-004,2026-02-04,37,46,27,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,3,S-2026-004,2026-04-22,38,47,26,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,1,MR-20260507-1-ez8XhN,2026-05-07,1,1,,,draft,1,4,,,,2026-05-07 13:10:02.867522+09,2026-05-07 13:10:02.867522+09,
38,1,MR-20260507-1-uUJgtF,2026-05-07,1,1,,,draft,1,4,,,,2026-05-07 14:44:37.876649+09,2026-05-07 14:44:37.876649+09,
39,1,MR-20260507-1-QHeBtx,2026-05-07,1,1,,,draft,1,4,,,,2026-05-07 14:44:51.894538+09,2026-05-07 14:44:51.894538+09,
40,1,MR-20260507-1-A0cYzP,2026-05-07,1,1,,,draft,1,4,,,,2026-05-07 14:45:37.458156+09,2026-05-07 14:45:37.458156+09,
41,1,MR-20260507-1-iznyqy,2026-05-07,1,1,,,draft,1,4,,,,2026-05-07 14:45:50.493979+09,2026-05-07 14:45:50.493979+09,
42,1,MR-20260509-1-zRC1Qb,2026-05-09,1,1,,,draft,1,4,,,,2026-05-09 17:48:12.285328+09,2026-05-09 17:48:12.285328+09,
43,1,MR-20260509-1-bx40GM,2026-05-09,1,1,,,draft,1,4,,,,2026-05-09 17:48:44.370087+09,2026-05-09 17:48:44.370087+09,
44,1,MR-20260509-1-mytfsU,2026-05-09,1,2,4,111,draft,1,,,,,2026-05-09 17:51:27.788135+09,2026-05-09 17:51:27.788135+09,
45,1,MR-20260509-1-bGpxAZ,2026-05-09,1,2,,,draft,1,4,,,,2026-05-09 17:51:37.186341+09,2026-05-09 17:51:37.186341+09,
46,1,MR-20260509-1-YUsMoD,2026-05-09,1,2,,,draft,1,4,,,,2026-05-09 17:52:06.833723+09,2026-05-09 17:52:06.833723+09,
47,1,MR-20260511-1-huxJux,2026-05-11,1,1,,,draft,1,4,,,,2026-05-11 17:19:30.853282+09,2026-05-11 17:19:30.853282+09,
48,1,MR-20260511-1-ehfPeh,2026-05-11,1,1,,,draft,1,4,,,,2026-05-11 17:30:32.830175+09,2026-05-11 17:30:32.830175+09,
49,1,MR-20260511-1-FLYxqO,2026-05-11,1,1,,,draft,1,4,,,,2026-05-11 17:32:10.19843+09,2026-05-11 17:32:10.19843+09,
50,1,MR-20260512-1-f34Chb,2026-05-12,1,1,,,draft,1,4,,,,2026-05-12 14:08:01.542107+09,2026-05-12 14:08:01.542107+09,
51,1,MR-20260512-1-rjpx3a,2026-05-12,1,1,,,draft,1,4,,,,2026-05-12 14:10:53.599995+09,2026-05-12 14:10:53.599995+09,
52,1,MR-20260512-1-PesMFD,2026-05-12,1,1,,,draft,1,4,,,,2026-05-12 14:12:01.708601+09,2026-05-12 14:12:01.708601+09,
53,1,MR-20260512-1-2G93IH,2026-05-12,1,1,,,draft,1,4,,,,2026-05-12 14:12:14.263886+09,2026-05-12 14:12:14.263886+09,
54,1,MR-20260512-1-wYohCA,2026-05-12,1,1,,,draft,1,4,,,,2026-05-12 14:12:27.850393+09,2026-05-12 14:12:27.850393+09,
55,1,MR-20260513-1-DGmrwv,2026-05-13,1,1,,,draft,1,4,,,,2026-05-13 14:27:04.142696+09,2026-05-13 14:27:04.142696+09,
56,1,MR-20260513-1-UVuDVo,2026-05-13,1,1,,,draft,1,4,,,,2026-05-13 14:29:38.405567+09,2026-05-13 14:29:38.405567+09,
57,1,MR-20260520-1-R3kBq1,2026-05-20,1,1,,116,draft,1,,,,,2026-05-20 11:16:03.121269+09,2026-05-20 11:16:03.121269+09,
58,1,MR-20260520-1-nuLiSC,2026-05-20,1,1,,,draft,1,4,,,,2026-05-20 11:16:14.089542+09,2026-05-20 11:16:14.089542+09,
59,1,MR-20260520-1-uIYcc1,2026-05-20,1,1,,,draft,1,4,,,,2026-05-20 11:16:34.475044+09,2026-05-20 11:16:34.475044+09,
60,1,MR-20260520-1-W3bBXH,2026-05-20,1,1,,,draft,1,4,,,,2026-05-20 11:16:52.992284+09,2026-05-20 11:16:52.992284+09,
61,1,R-2026-021,2026-05-22,2,3,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
62,1,R-2026-022,2026-05-22,4,6,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
63,1,R-2026-023,2026-05-22,8,10,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
64,1,R-2026-024,2026-05-22,9,11,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
65,1,R-2026-025,2026-05-22,11,13,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
66,1,R-2026-026,2026-05-22,12,14,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
67,1,R-2026-027,2026-05-22,13,15,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
68,1,R-2026-028,2026-05-22,14,16,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
69,1,R-2026-029,2026-05-22,15,17,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
70,1,R-2026-030,2026-05-22,16,18,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
71,1,R-2026-031,2026-05-22,17,19,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
72,1,R-2026-032,2026-05-22,18,20,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
73,1,R-2026-033,2026-05-22,18,21,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
74,1,R-2026-034,2026-05-22,19,22,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
75,1,R-2026-035,2026-05-22,21,25,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
76,1,R-2026-036,2026-05-22,22,27,2,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
77,1,R-2026-037,2026-05-22,39,49,1,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
78,1,R-2026-038,2026-05-22,40,50,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
79,1,R-2026-039,2026-05-22,41,51,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
80,1,R-2026-040,2026-05-22,42,52,2,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
81,1,R-2026-041,2026-05-22,43,53,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
82,1,R-2026-042,2026-05-22,44,54,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
83,1,R-2026-043,2026-05-22,45,55,1,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
84,1,R-2026-044,2026-05-22,46,56,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
85,1,R-2026-045,2026-05-22,47,57,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
86,1,R-2026-046,2026-05-22,48,58,2,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
87,1,R-2026-047,2026-05-22,49,59,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
88,1,R-2026-048,2026-05-22,50,60,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
89,1,R-2026-049,2026-05-22,51,61,1,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
90,1,R-2026-050,2026-05-22,52,62,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
91,1,R-2026-051,2026-05-22,1,1,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
301,2,C-2026-004,2026-05-22,23,29,16,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
302,2,C-2026-005,2026-05-22,24,31,17,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
303,2,C-2026-006,2026-05-22,25,32,16,,draft,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
401,3,S-2026-005,2026-05-22,31,39,26,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
402,3,S-2026-006,2026-05-22,32,40,27,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
501,1,EX-001,2026-05-22,5,80,1,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
502,1,EX-002,2026-05-22,10,81,2,,finalized,1,,,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
503,1,MR-20260531-1-G2xCz3,2026-05-31,41,51,17,1021,draft,1,,,,revisit,2026-05-31 13:40:33.964912+09,2026-05-31 13:40:33.964912+09,
1000,1,REC-11000,2026-05-30,8,10,2,1001,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1001,1,REC-11001,2026-05-30,43,53,4,1003,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1002,1,REC-11002,2026-05-30,17,19,2,1005,finalized,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1003,1,REC-11003,2026-05-30,12,14,4,1007,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1004,1,REC-11004,2026-05-30,6,8,2,1009,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1005,1,REC-11005,2026-05-30,18,20,3,1010,draft,1,,,,first,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1006,1,REC-11006,2026-05-30,39,71,4,1011,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1007,1,REC-11007,2026-05-30,42,74,3,1014,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1008,1,REC-11008,2026-05-30,57,67,4,1015,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1009,1,REC-11009,2026-05-30,19,23,1,1016,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1010,1,REC-11010,2026-05-30,4,6,2,1017,finalized,1,,,,first,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1011,1,REC-11011,2026-05-30,16,18,3,1018,finalized,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1012,1,REC-11012,2026-05-30,7,9,4,1019,finalized,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1013,1,REC-11013,2026-05-30,1,1,1,1020,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1014,1,REC-11014,2026-05-31,22,28,1,1021,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1015,1,REC-11015,2026-05-31,4,6,2,1022,finalized,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1016,1,REC-11016,2026-05-31,18,21,4,1024,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1017,1,REC-11017,2026-05-31,39,71,1,1025,draft,1,,,,revisit,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1018,1,MR-20260608-1-3CBns8,2026-06-08,54,64,3,1198,draft,1,,,,revisit,2026-06-08 13:37:30.147661+09,2026-06-08 13:37:30.147661+09,
1019,1,MR-20260608-1-T1y7fZ,2026-06-08,10,12,2,1197,draft,1,,,,revisit,2026-06-08 13:45:08.788976+09,2026-06-08 13:45:08.788976+09,
1020,1,MR-20260610-1-1ur6fc,2026-06-10,42,52,2,1240,draft,1,,,,revisit,2026-06-10 13:32:38.012277+09,2026-06-10 13:32:38.012277+09,
1021,2,MR-20260610-2-xUGwUn,2026-06-10,61,82,,1689,draft,1,1,,,revisit,2026-06-10 16:30:01.017359+09,2026-06-10 16:30:01.017359+09,
1022,1,MR-20260611-1-3Ytvoc,2026-06-11,18,20,2,1261,draft,1,,,,revisit,2026-06-11 17:52:52.711715+09,2026-06-11 17:52:52.711715+09,
1023,1,MR-20260612-1-VXUMKY,2026-06-12,11,13,1,1277,draft,1,,,,revisit,2026-06-12 18:11:55.196561+09,2026-06-12 18:11:55.196561+09,
1024,1,MR-20260612-1-ypSQ3R,2026-06-12,40,50,2,1278,draft,1,,,,revisit,2026-06-12 18:28:06.544119+09,2026-06-12 18:28:06.544119+09,
1025,1,MR-20260613-1-42c5ze,2026-06-14,47,57,1,1300,draft,2,,,,revisit,2026-06-13 17:45:10.143432+09,2026-06-13 17:53:28.24326+09,
1026,1,MR-20260614-1-8CPjrU,2026-06-14,1,1,1,1692,draft,1,,,,revisit,2026-06-13 17:50:09.169885+09,2026-06-13 17:50:09.169885+09,
1027,1,MR-20260609-1-mv57B9,2026-06-09,45,55,4,1220,draft,1,,,,revisit,2026-06-13 17:50:15.717468+09,2026-06-13 17:50:15.717468+09,
1028,1,MR-20260608-1-rES6h1,2026-06-08,16,18,2,1210,draft,1,,,,revisit,2026-06-13 17:50:19.710675+09,2026-06-13 17:50:19.710675+09,
1029,1,MR-20260613-1-xuTLBF,2026-06-13,4,6,3,1302,draft,1,,,,revisit,2026-06-13 17:51:28.146215+09,2026-06-13 17:51:28.146215+09,
1030,1,MR-20260613-1-bqSEHB,2026-06-13,17,19,2,1301,draft,1,,,,revisit,2026-06-13 17:52:06.859316+09,2026-06-13 17:52:06.859316+09,
1031,1,MR-20260613-1-n21BPN,2026-06-13,57,67,4,1303,draft,1,,,,revisit,2026-06-13 17:52:47.832724+09,2026-06-13 17:52:47.832724+09,
1032,1,MR-20260613-1-uSBJU3,2026-06-13,3,4,1,1304,draft,1,,,,revisit,2026-06-13 17:52:51.092765+09,2026-06-13 17:52:51.092765+09,
1033,1,MR-20260613-1-jZAYgN,2026-06-13,8,10,2,1305,draft,1,,,,revisit,2026-06-13 17:52:53.832026+09,2026-06-13 17:52:53.832026+09,
1034,1,MR-20260613-1-7JjPQP,2026-06-13,47,57,1,1300,draft,1,,,,revisit,2026-06-13 17:53:55.585239+09,2026-06-13 17:53:55.585239+09,
1035,2,MR-20260615-2-45ShJP,2026-06-15,61,82,34,1698,draft,1,,,,revisit,2026-06-15 11:23:15.607809+09,2026-06-15 11:23:15.607809+09,
1036,2,MR-20260615-2-cw7do4,2026-06-15,30,38,,1700,draft,1,,,,revisit,2026-06-15 13:49:48.548297+09,2026-06-15 13:49:48.548297+09,
