id,medical_record_id,chief_complaint_type_id,chief_complaint,history,current_medications,allergy_info,last_meal,last_defecation,last_urination,appetite,water_intake,owner_observations,notes,staff_id,created_at,updated_at
28,24,9,皮膚の痒み・発赤,"","","","","","",,,"",2週間前から痒がる。アトピー疑い。,18,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
29,25,7,食欲低下,"","","","","","",,,"",3日前から食欲落ちている。,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
30,26,,3種混合ワクチン接種（猫）,"","","","","","",,,"",ワクチン接種。良好。,17,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
31,27,,再診（足の不調）,"","","","","","",,,"",前回から改善傾向。,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
32,28,7,食欲不振・嘔吐,"","","","","","",,,"",初診。昨日から嘔吐1回。,18,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
33,29,,年次健診・ワクチン接種,"","","","","","",,,"",体調良好。体重24kg。,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
34,30,,3種混合ワクチン接種（猫）,"","","","","","",,,"",ワクチン接種。体調良好。,27,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
35,31,,血液検査（年次健診）,"","","","","","",,,"",シニア健診。,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
36,32,12,嘔吐・下痢,"","","","","","",,,"",昨日から嘔吐2回。軟便あり。,27,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
37,33,17,皮膚の痒み・かさぶた,"","","","","","",,,"",アレルギー疑い。フリーズドライ投与。,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
38,34,,初診・一般診察,"","","","","","",,,"",初めての来院。,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
39,35,,耳を痒がる,"","","","","","",,,"",外耳炎疑い。耳垢あり。,27,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
40,36,,3種混合ワクチン接種（猫）,"","","","","","",,,"",ワクチン接種。体重4.0kg。,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
41,37,,"","","","","","","",,,"","",,2026-05-07 13:10:02.879897+09,2026-05-07 13:10:02.885494+09
42,38,,"","","","","","","",,,"","",,2026-05-07 14:44:37.883924+09,2026-05-07 14:44:37.886174+09
43,39,,"","","","","","","",,,"","",,2026-05-07 14:44:51.901744+09,2026-05-07 14:44:51.904033+09
44,40,,"","","","","","","",,,"","",,2026-05-07 14:45:37.461418+09,2026-05-07 14:45:43.378725+09
45,41,,"","","","","","","",,,"","",,2026-05-07 14:45:50.497277+09,2026-05-07 14:45:50.498997+09
46,42,,"","","","","","","",,,"","",,2026-05-09 17:48:12.294211+09,2026-05-09 17:48:12.29652+09
47,43,,"","","","","","","",,,"","",,2026-05-09 17:48:44.376885+09,2026-05-09 17:48:44.379088+09
48,44,,"","","","","","","",,,"","",,2026-05-09 17:51:27.795388+09,2026-05-09 17:51:27.798253+09
49,45,,"","","","","","","",,,"","",,2026-05-09 17:51:37.1897+09,2026-05-09 17:51:37.192864+09
50,46,,"","","","","","","",,,"","",,2026-05-09 17:52:06.837309+09,2026-05-09 17:52:06.839046+09
51,47,1,"","","","","","","",,,"","",,2026-05-11 17:19:30.863395+09,2026-05-11 17:22:59.398691+09
52,48,1,"","","","","","","",,,"","",,2026-05-11 17:30:32.836651+09,2026-05-11 17:31:51.424634+09
53,49,,"","","","","","","",,,"","",,2026-05-11 17:32:10.20185+09,2026-05-11 17:32:15.234448+09
54,50,,"","","","","","","",,,"","",,2026-05-12 14:08:01.550843+09,2026-05-12 14:08:01.554051+09
55,51,2,"","","","","","","",,,"","",,2026-05-12 14:10:53.603986+09,2026-05-12 14:11:45.172348+09
56,52,,"","","","","","","",,,"","",,2026-05-12 14:12:01.715127+09,2026-05-12 14:12:01.751826+09
57,53,,"","","","","","","",,,"","",,2026-05-12 14:12:14.269626+09,2026-05-12 14:12:14.272251+09
58,54,,"","","","","","","",,,"","",,2026-05-12 14:12:27.854086+09,2026-05-12 14:12:27.855968+09
59,55,,"","","","","","","",,,"","",,2026-05-13 14:27:04.148505+09,2026-05-13 14:27:35.8547+09
60,56,,"","","","","","","",,,"","",,2026-05-13 14:29:38.409629+09,2026-05-13 14:29:38.41183+09
61,57,,"","","","","","","",,,"","",,2026-05-20 11:16:03.133988+09,2026-05-20 11:16:03.13918+09
62,58,,"","","","","","","",,,"","",,2026-05-20 11:16:14.096188+09,2026-05-20 11:16:14.098507+09
63,59,,"","","","","","","",,,"","",,2026-05-20 11:16:34.478667+09,2026-05-20 11:16:34.480523+09
64,60,,"","","","","","","",,,"","",,2026-05-20 11:16:53.000132+09,2026-05-20 11:16:53.002662+09
100,61,,定期健診とワクチン,"","","","","","",,,"",1年前の混合ワクチンから1年経過。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
101,62,3,耳の赤みと痒み,"","","","","","",,,"",昨日からしきりに耳を振っている。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
102,63,2,食欲不振と嘔吐,"","","","","","",,,"",今朝から3回、黄色い液を吐いた。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
103,64,,避妊手術,"","","","","","",,,"",術前検査済み。絶食で来院。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
104,65,3,目やに,"","","","","","",,,"",左目が開けにくそう。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
105,74,,夜間救急：痙攣,"","","","","","",,,"",15分前に全身性の痙攣発作。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
106,75,6,散歩中に足を引きずる,"","","","","","",,,"",右後ろ足を浮かせる。,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
107,78,1,元気がない,"","","","","","",,,"",1週間前から徐々に活動性低下。,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
301,301,,再診。心雑音のチェック。,"","","","","","",,,"","",16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
302,302,,初診。昨日から元気がない。,"","","","","","",,,"","",17,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
401,401,,混合ワクチン。,"","","","","","",,,"","",26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
402,402,,フィラリア予防。,"","","","","","",,,"","",27,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
403,1029,,"","","","","","","",,,"","",,2026-06-13 17:51:40.249183+09,2026-06-13 17:51:40.255041+09
404,1030,2,"# 混合ワクチン接種
体調良好。","","","","","","",,,"","",,2026-06-13 17:52:22.489764+09,2026-06-13 17:52:33.934728+09
405,1025,,"# 混合ワクチン接種
体調良好。","","","","","","",,,"","",,2026-06-13 17:53:34.229728+09,2026-06-13 17:53:34.232115+09
406,1035,,"","","","","","","",,,"","",,2026-06-15 11:25:04.737317+09,2026-06-15 13:39:07.904584+09
