id,clinic_id,name,is_active,description,diagnosis_type_id,sort_order,created_at,updated_at,deleted_at
24,2,肺炎,t,肺の感染性・非感染性炎症,10,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,アトピー性皮膚炎,t,アレルゲンによるアレルギー性皮膚炎,11,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,2,膿皮症,t,細菌性の皮膚感染症,11,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,2,膀胱炎,t,細菌性・特発性膀胱炎,12,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,2,腎不全,t,急性・慢性腎不全,12,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,2,パルボウイルス感染症,t,犬パルボウイルスによる感染症,13,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,2,猫風邪（FVR）,t,猫ウイルス性鼻気管炎,13,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,3,胃腸炎,t,胃・腸の炎症（嘔吐・下痢）,14,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,3,肝疾患,t,肝炎・肝不全・脂肪肝など,14,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,3,アトピー性皮膚炎,t,アレルゲンによるアレルギー性皮膚炎,15,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,3,膿皮症,t,細菌性の皮膚感染症,15,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,3,真菌症,t,皮膚糸状菌による感染症,15,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,3,膀胱炎,t,細菌性・特発性膀胱炎,16,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,3,尿路結石,t,腎結石・膀胱結石・尿道結石,16,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
38,3,肥満細胞腫,t,皮膚または内臓の肥満細胞腫瘍,17,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
39,3,骨折,t,各部位の骨折,18,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,3,咬傷,t,他動物による咬傷・咬傷感染,18,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
41,1,外耳炎,t,外耳道の炎症・細菌/真菌/寄生虫感染,3,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
42,1,膝蓋骨脱臼,t,膝蓋骨の内方/外方脱臼,8,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
43,1,僧帽弁閉鎖不全症,t,心臓の弁膜症,2,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
44,1,糖尿病,t,インスリン不足による高血糖,1,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
45,2,肺炎,t,肺の感染性・非感染性炎症,10,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
46,2,喉頭炎,t,喉頭部の炎症,10,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
47,2,外耳炎,t,外耳道の炎症・細菌/真菌/寄生虫感染,11,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
48,2,腎不全,t,急性・慢性腎不全,12,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
49,2,尿路結石,t,腎結石・膀胱結石・尿道結石,12,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
50,2,肥満細胞腫,t,皮膚または内臓の肥満細胞腫瘍,19,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
51,2,骨折,t,各部位の骨折,20,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
52,2,てんかん,t,反復性の痙攣発作,21,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
53,3,膵炎,t,膵臓の炎症,14,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
54,3,腸重積,t,腸管の重積（緊急外科適応）,14,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
55,3,外耳炎,t,外耳道の炎症・細菌/真菌/寄生虫感染,15,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
56,3,脂漏症,t,皮脂分泌異常による皮膚疾患,15,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
57,3,腎不全,t,急性・慢性腎不全,16,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
58,3,FLUTD,t,猫下部尿路疾患,16,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
59,3,リンパ腫,t,悪性リンパ腫,17,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
60,3,気管支炎,t,気管支の炎症,22,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
61,3,てんかん,t,反復性の痙攣発作,23,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
62,3,フィラリア症,t,犬糸状虫による心肺疾患,24,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
