id,clinic_id,name,price,is_active,description,duration,anesthesia,parent_id,tax_type,tax_rate,sort_order,is_surgery,created_at,updated_at,deleted_at
13,2,耳洗浄,2800,t,外耳炎治療・耳道内の洗浄処置,15,none,,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,2,爪切り,500,t,爪のカット・やすりがけ,10,none,,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,2,点滴処置,3200,t,静脈内点滴（1時間）,60,none,,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,3,去勢手術（犬）,24000,t,雄犬の去勢手術,60,general,,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,3,避妊手術（猫）,24000,t,雌猫の避妊手術,90,general,,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,3,歯石除去,15000,t,全身麻酔下での歯石除去・歯周治療,45,general,,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,3,爪切り,500,t,爪のカット・やすりがけ,10,none,,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,3,腫瘍摘出,22000,t,皮膚腫瘍の外科的摘出,60,local,,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,歯石除去,15500,t,全身麻酔下での歯石除去・歯周治療,45,general,,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,2,皮膚縫合,5200,t,裂傷・切傷の縫合処置,30,local,,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,骨折整復,82000,t,骨折の外科的整復・固定,120,general,,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,2,胃洗浄,10500,t,異物誤飲時の胃洗浄処置,30,general,,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,腫瘍摘出,21000,t,皮膚腫瘍の外科的摘出,60,local,,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,3,歯科処置（歯石除去）,15200,t,全身麻酔下での歯石除去・歯周治療,45,general,,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,3,耳洗浄,2600,t,外耳炎治療・耳道内の洗浄処置,15,none,,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,3,皮膚縫合,5100,t,裂傷・切傷の縫合処置,30,local,,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,3,胃洗浄,10200,t,異物誤飲時の胃洗浄処置,30,general,,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,3,点滴処置,3100,t,静脈内点滴（1時間）,60,none,,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13001,1,肝胆膵疾患用薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13002,1,抗腫瘍剤（注射）,0,t,既存,,none,13047,excluded,0.10,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13003,1,血液作用剤（注射）,0,t,既存,,none,13047,excluded,0.10,13,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13004,1,代謝系薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,14,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13005,1,内分泌系薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,15,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13006,1,神経系薬剤（注射）,0,t,既存,,none,13047,excluded,0.10,16,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13007,1,消炎酵素剤（注射）,0,t,既存,,none,13047,excluded,0.10,17,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13008,1,ビタミン剤（注射）,0,t,既存,,none,13047,excluded,0.10,18,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13009,1,その他注射（注射）,0,t,既存,,none,13047,excluded,0.10,19,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13010,1,ステロイド（注射）,0,t,既存,,none,13047,excluded,0.10,20,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13011,1,抗生物質・抗菌薬（セフェム系）,0,t,既存,,none,13047,excluded,0.10,21,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13012,1,抗生物質・抗菌薬（フルオロキノロン系）,0,t,既存 / 原本画面で末尾が切れていたため要確認,,none,13047,excluded,0.10,22,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13013,1,抗生物質・抗菌薬（アミノグリコシド系）,0,t,既存 / 原本画面で末尾が切れていたため要確認,,none,13047,excluded,0.10,23,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13014,1,抗生物質・抗菌薬（テトラサイクリン系）,0,t,既存 / 原本画面で末尾が切れていたため要確認,,none,13047,excluded,0.10,24,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13015,1,抗生物質・抗菌薬（マクロライド系）,0,t,既存 / 原本画面で末尾が切れていたため要確認,,none,13047,excluded,0.10,25,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13016,1,皮下輸液,0,t,既存,,none,13048,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13017,1,入院輸液,0,t,既存,,none,13048,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13019,1,耳処置,0,t,既存,,none,13050,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13020,1,Laser,0,t,既存,,none,13050,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13021,1,外傷処置,0,t,既存,,none,13050,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13022,1,皮膚処置,0,t,既存 / 外傷処置に統合,,none,13050,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13023,1,眼科処置,0,t,既存,,none,13050,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13024,1,歯科処置,0,t,既存,,none,13050,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13025,1,泌尿器系処置,0,t,既存,,none,13050,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13026,1,滴下剤処置,0,t,既存,,none,13050,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13027,1,投薬・給餌処置,0,t,既存,,none,13050,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13028,1,EMR,0,t,既存,,none,13050,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13029,1,その他処置,0,t,既存,,none,13050,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13031,1,消化器系処置,0,t,既存,,none,13050,excluded,0.10,13,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13032,1,犬 Cast&Spay,0,t,既存,,none,13052,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13033,1,猫 Cast&Spay,0,t,既存,,none,13052,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13034,1,その他 Cast&Spay,0,t,既存,,none,13052,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13035,1,開腹手術（消化器）,0,t,既存 / 開腹手術を２種類に分類,,none,13052,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13036,1,開腹手術（その他）,0,t,新規 / 開腹手術を２種類に分類,,none,13052,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13037,1,ヘルニア整復術,0,t,既存,,none,13052,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13038,1,眼科手術,0,t,既存,,none,13052,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13039,1,骨外科手術,0,t,既存,,none,13052,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13040,1,靱帯整復術,0,t,既存,,none,13052,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13041,1,脱臼整復術,0,t,既存,,none,13052,excluded,0.10,10,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13042,1,その他手術,0,t,既存,,none,13052,excluded,0.10,11,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13043,1,ドレープ,0,t,既存,,none,13052,excluded,0.10,12,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13044,1,吸入麻酔,0,t,既存,,none,13053,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13045,1,注射麻酔,0,t,既存,,none,13053,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13046,1,局所麻酔,0,t,既存,,none,13053,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13047,1,注射,0,t,注射カテゴリ,,none,,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13048,1,輸液,0,t,輸液カテゴリ,,none,,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13049,1,輸血カテゴリ,0,t,輸血カテゴリ,,none,,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13050,1,処置,0,t,処置カテゴリ,,none,,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13051,1,お手入れカテゴリ,0,t,お手入れカテゴリ,,none,,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13052,1,手術,0,t,手術カテゴリ,,none,,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13053,1,麻酔,0,t,麻酔カテゴリ,,none,,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
