id,clinic_id,name,price,is_active,description,parent_id,dosage_form,medicine_unit,inventory_id,default_quantity,tax_type,tax_rate,sort_order,is_non_insurance,created_at,updated_at,deleted_at,calculation_type,strength,frequency_per_day,default_duration_days
2008,2,神経系薬,,t,神経系薬カテゴリ,,,,,1.00,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
2009,2,輸液（追加）,,t,輸液・補液カテゴリ,,,,,1.00,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3001,3,抗生剤,,t,抗生物質カテゴリ,,,,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3002,3,ステロイド,,t,ステロイド剤カテゴリ,,,,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3003,3,制吐剤,,t,制吐剤カテゴリ,,,,,1.00,excluded,0.10,3,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3004,3,消化器用薬,,t,消化器用薬カテゴリ,,,,,1.00,excluded,0.10,4,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3005,3,消炎剤,,t,消炎鎮痛剤カテゴリ,,,,,1.00,excluded,0.10,5,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3006,3,利尿剤,,t,利尿剤カテゴリ,,,,,1.00,excluded,0.10,6,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3007,3,神経系薬,,t,神経系薬カテゴリ,,,,,1.00,excluded,0.10,7,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3008,3,駆虫剤,,t,駆虫剤カテゴリ,,,,,1.00,excluded,0.10,8,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
3009,3,輸液（追加）,,t,輸液・補液カテゴリ,,,,,1.00,excluded,0.10,9,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14001,1,内用薬,0,t,内用薬カテゴリ,,,,,1.00,excluded,0.10,1,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14002,1,外用薬,0,t,外用薬カテゴリ,,,,,1.00,excluded,0.10,2,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14003,1,神経系薬剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,16,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14004,1,消炎酵素剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,17,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14005,1,ビタミン剤（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,18,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14006,1,漢方薬（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,19,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14007,1,その他内用薬（内用）,0,t,既存 / その他内用から皮膚薬のみ小分類分ける,14001,tablet,per_tablet,,1.00,excluded,0.10,20,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14008,1,皮膚薬（内用）,0,t,新規 / その他内用から皮膚薬のみ小分類分ける,14001,tablet,per_tablet,,1.00,excluded,0.10,21,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14009,1,追加内用薬,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,22,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14010,1,その他サプリメント（内用）,0,t,既存 / その他と関節系サプリを分ける,14001,tablet,per_tablet,,1.00,excluded,0.10,23,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14011,1,関節系サプリメント（内用）,0,t,新規 / その他と関節系サプリを分ける,14001,tablet,per_tablet,,1.00,excluded,0.10,24,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14012,1,ステロイド（内用）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,25,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14013,1,抗生物質・抗菌薬（セフェム系）,0,t,既存,14001,tablet,per_tablet,,1.00,excluded,0.10,26,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14014,1,抗生物質・抗菌剤（フルオロキノロン系）,0,t,既存 / 原本画面で末尾が切れていたため要確認,14001,tablet,per_tablet,,1.00,excluded,0.10,27,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14015,1,眼科用剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,28,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14016,1,皮膚外用剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,29,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14017,1,耳鼻科用剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,30,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14018,1,坐剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,31,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14019,1,消毒剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,32,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14020,1,診断用薬剤,0,t,既存,14002,topical,per_dose,,1.00,excluded,0.10,33,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14021,1,抗生物質・抗菌剤,0,f,既存 / 皮膚外用へ移動、小分類削除,14002,topical,per_dose,,1.00,excluded,0.10,34,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14022,1,その他外用薬,0,f,既存 / ノミダニ予防へ移動、小分類削除,14002,topical,per_dose,,1.00,excluded,0.10,35,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
14023,1,パッチ,0,f,既存 / その他外用へ移動、小分類削除,14002,topical,per_dose,,1.00,excluded,0.10,36,f,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,,none,,,
