id,clinic_id,checkup_type_id,name,field_type,unit,min_value,max_value,options,is_provisional,sort_order,created_at,updated_at,deleted_at
13,1,13,耳垢の性状,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""乾性（茶褐色）"", ""value"": ""乾性（茶褐色）""}, {""label"": ""湿性（黄色）"", ""value"": ""湿性（黄色）""}, {""label"": ""黒色（耳ダニ疑い）"", ""value"": ""黒色（耳ダニ疑い）""}, {""label"": ""膿性"", ""value"": ""膿性""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
14,1,13,外部寄生虫の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
15,1,13,ホームケア指導,checklist,"",,,"[{""label"": ""薬用シャンプーの使用"", ""value"": ""薬用シャンプーの使用""}, {""label"": ""定期的な耳掃除"", ""value"": ""定期的な耳掃除""}, {""label"": ""保湿ケア"", ""value"": ""保湿ケア""}, {""label"": ""食事の見直し"", ""value"": ""食事の見直し""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
16,1,14,眼圧,number,mmHg,10.0000,25.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
17,1,14,涙液量（シルマー試験）,number,mm/分,15.0000,30.0000,[],t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
18,1,14,角膜の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""混濁"", ""value"": ""混濁""}, {""label"": ""傷あり"", ""value"": ""傷あり""}, {""label"": ""血管新生"", ""value"": ""血管新生""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
19,1,14,水晶体の混濁度,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""初期（核硬化症疑い）"", ""value"": ""初期（核硬化症疑い）""}, {""label"": ""未熟白内障"", ""value"": ""未熟白内障""}, {""label"": ""成熟白内障"", ""value"": ""成熟白内障""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
20,1,14,眼脂・流涙の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
21,1,14,眼科所見メモ,text,"",,,[],t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
22,1,15,実施項目,checklist,"",,,"[{""label"": ""視診・触診"", ""value"": ""視診・触診""}, {""label"": ""聴診"", ""value"": ""聴診""}, {""label"": ""体重・体温測定"", ""value"": ""体重・体温測定""}, {""label"": ""歩様チェック"", ""value"": ""歩様チェック""}, {""label"": ""口腔内チェック"", ""value"": ""口腔内チェック""}]",t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
23,1,15,総合判定,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""経過観察"", ""value"": ""経過観察""}, {""label"": ""再検査推奨"", ""value"": ""再検査推奨""}, {""label"": ""精密検査推奨"", ""value"": ""精密検査推奨""}]",t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
24,1,15,要注意部位,multi_select,"",,,"[{""label"": ""皮膚"", ""value"": ""皮膚""}, {""label"": ""耳"", ""value"": ""耳""}, {""label"": ""眼"", ""value"": ""眼""}, {""label"": ""口腔"", ""value"": ""口腔""}, {""label"": ""心音"", ""value"": ""心音""}, {""label"": ""腹部"", ""value"": ""腹部""}, {""label"": ""関節"", ""value"": ""関節""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
25,1,15,所見メモ,text,"",,,[],t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
26,1,16,尿比重,number,"",1.0150,1.0450,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
27,1,16,尿pH,number,"",5.5000,7.5000,[],t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
28,1,16,尿蛋白,single_select,"",,,"[{""label"": ""(-)"", ""value"": ""(-)""}, {""label"": ""(±)"", ""value"": ""(±)""}, {""label"": ""(+)"", ""value"": ""(+)""}, {""label"": ""(2+)"", ""value"": ""(2+)""}, {""label"": ""(3+)"", ""value"": ""(3+)""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
29,1,16,尿糖,single_select,"",,,"[{""label"": ""(-)"", ""value"": ""(-)""}, {""label"": ""(±)"", ""value"": ""(±)""}, {""label"": ""(+)"", ""value"": ""(+)""}, {""label"": ""(2+)"", ""value"": ""(2+)""}, {""label"": ""(3+)"", ""value"": ""(3+)""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
30,1,16,潜血,single_select,"",,,"[{""label"": ""(-)"", ""value"": ""(-)""}, {""label"": ""(±)"", ""value"": ""(±)""}, {""label"": ""(+)"", ""value"": ""(+)""}, {""label"": ""(2+)"", ""value"": ""(2+)""}, {""label"": ""(3+)"", ""value"": ""(3+)""}]",t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
31,1,16,色調,single_select,"",,,"[{""label"": ""淡黄色"", ""value"": ""淡黄色""}, {""label"": ""黄色"", ""value"": ""黄色""}, {""label"": ""濃黄色"", ""value"": ""濃黄色""}, {""label"": ""血色"", ""value"": ""血色""}, {""label"": ""その他"", ""value"": ""その他""}]",t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
32,1,16,混濁,single_select,"",,,"[{""label"": ""清澄"", ""value"": ""清澄""}, {""label"": ""軽度混濁"", ""value"": ""軽度混濁""}, {""label"": ""混濁"", ""value"": ""混濁""}]",t,7,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
33,1,16,鏡検・所見メモ,text,"",,,[],t,8,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
34,2,17,掻痒スコア,number,"",0.0000,10.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
35,2,17,皮膚の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""発赤・湿疹"", ""value"": ""発赤・湿疹""}, {""label"": ""フケ・乾燥"", ""value"": ""フケ・乾燥""}, {""label"": ""脱毛"", ""value"": ""脱毛""}, {""label"": ""外傷・びらん"", ""value"": ""外傷・びらん""}]",t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
36,2,17,外耳の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""耳垢増加"", ""value"": ""耳垢増加""}, {""label"": ""発赤・腫脹"", ""value"": ""発赤・腫脹""}, {""label"": ""悪臭あり"", ""value"": ""悪臭あり""}, {""label"": ""外耳炎疑い"", ""value"": ""外耳炎疑い""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
37,2,17,耳垢の性状,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""乾性（茶褐色）"", ""value"": ""乾性（茶褐色）""}, {""label"": ""湿性（黄色）"", ""value"": ""湿性（黄色）""}, {""label"": ""黒色（耳ダニ疑い）"", ""value"": ""黒色（耳ダニ疑い）""}, {""label"": ""膿性"", ""value"": ""膿性""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
38,2,17,外部寄生虫の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
39,2,17,ホームケア指導,checklist,"",,,"[{""label"": ""薬用シャンプーの使用"", ""value"": ""薬用シャンプーの使用""}, {""label"": ""定期的な耳掃除"", ""value"": ""定期的な耳掃除""}, {""label"": ""保湿ケア"", ""value"": ""保湿ケア""}, {""label"": ""食事の見直し"", ""value"": ""食事の見直し""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
40,2,18,眼圧,number,mmHg,10.0000,25.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
41,2,18,涙液量（シルマー試験）,number,mm/分,15.0000,30.0000,[],t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
42,2,18,角膜の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""混濁"", ""value"": ""混濁""}, {""label"": ""傷あり"", ""value"": ""傷あり""}, {""label"": ""血管新生"", ""value"": ""血管新生""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
43,2,18,水晶体の混濁度,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""初期（核硬化症疑い）"", ""value"": ""初期（核硬化症疑い）""}, {""label"": ""未熟白内障"", ""value"": ""未熟白内障""}, {""label"": ""成熟白内障"", ""value"": ""成熟白内障""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
44,2,18,眼脂・流涙の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
45,2,18,眼科所見メモ,text,"",,,[],t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
46,3,19,掻痒スコア,number,"",0.0000,10.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
47,3,19,皮膚の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""発赤・湿疹"", ""value"": ""発赤・湿疹""}, {""label"": ""フケ・乾燥"", ""value"": ""フケ・乾燥""}, {""label"": ""脱毛"", ""value"": ""脱毛""}, {""label"": ""外傷・びらん"", ""value"": ""外傷・びらん""}]",t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
48,3,19,外耳の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""耳垢増加"", ""value"": ""耳垢増加""}, {""label"": ""発赤・腫脹"", ""value"": ""発赤・腫脹""}, {""label"": ""悪臭あり"", ""value"": ""悪臭あり""}, {""label"": ""外耳炎疑い"", ""value"": ""外耳炎疑い""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
49,3,19,耳垢の性状,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""乾性（茶褐色）"", ""value"": ""乾性（茶褐色）""}, {""label"": ""湿性（黄色）"", ""value"": ""湿性（黄色）""}, {""label"": ""黒色（耳ダニ疑い）"", ""value"": ""黒色（耳ダニ疑い）""}, {""label"": ""膿性"", ""value"": ""膿性""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
50,3,19,外部寄生虫の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
51,3,19,ホームケア指導,checklist,"",,,"[{""label"": ""薬用シャンプーの使用"", ""value"": ""薬用シャンプーの使用""}, {""label"": ""定期的な耳掃除"", ""value"": ""定期的な耳掃除""}, {""label"": ""保湿ケア"", ""value"": ""保湿ケア""}, {""label"": ""食事の見直し"", ""value"": ""食事の見直し""}, {""label"": ""経過観察"", ""value"": ""経過観察""}]",t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
52,3,20,眼圧,number,mmHg,10.0000,25.0000,[],t,1,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
53,3,20,涙液量（シルマー試験）,number,mm/分,15.0000,30.0000,[],t,2,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
54,3,20,角膜の状態,single_select,"",,,"[{""label"": ""異常なし"", ""value"": ""異常なし""}, {""label"": ""混濁"", ""value"": ""混濁""}, {""label"": ""傷あり"", ""value"": ""傷あり""}, {""label"": ""血管新生"", ""value"": ""血管新生""}]",t,3,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
55,3,20,水晶体の混濁度,single_select,"",,,"[{""label"": ""なし"", ""value"": ""なし""}, {""label"": ""初期（核硬化症疑い）"", ""value"": ""初期（核硬化症疑い）""}, {""label"": ""未熟白内障"", ""value"": ""未熟白内障""}, {""label"": ""成熟白内障"", ""value"": ""成熟白内障""}]",t,4,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
56,3,20,眼脂・流涙の有無,boolean,"",,,[],t,5,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
57,3,20,眼科所見メモ,text,"",,,[],t,6,2026-07-15 00:00:00+09,2026-07-15 00:00:00+09,
