id,clinic_id,name,price,is_active,description,cage_type,cage_size,sort_order,created_at,updated_at,deleted_at
15,1,猫用小型B,3000,t,猫専用,cat,small,15,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,猫用小型C,3000,t,猫専用,cat,small,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,1,猫用中型B,3000,t,猫専用,cat,medium,17,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,1,汎用ケージB,2500,t,エキゾチック用,general,small,18,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,1,隔離室A,5000,t,感染症疑い用,dog,medium,19,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,1,隔離室B,5000,t,感染症疑い用,cat,small,20,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,3,ICUケージB,8000,t,酸素吸入可・重症患者用（副）,icu,medium,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,3,犬用ケージ（中）,3600,t,中型犬・一般入院用,dog,medium,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,3,猫用ケージ（小）,2900,t,猫専用・ストレス軽減設計,cat,small,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,3,汎用ケージ,2400,t,小動物・鳥類等対応,general,small,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,2,犬用ケージ（小）,2800,t,小型犬・ホテル利用可,dog,small,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,2,犬用ケージ（中）,3200,t,中型犬・一般入院用,dog,medium,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,2,猫用ケージ,2800,t,猫専用・ストレス軽減設計,cat,small,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,2,犬用ケージ（大）,3800,t,大型犬・術後管理用,dog,large,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,2,猫用ケージ（小）,2800,t,猫専用・ストレス軽減設計,cat,small,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,2,猫用ケージ（中）,3000,t,猫専用・中型,cat,medium,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,2,汎用ケージ,2500,t,小動物・鳥類等対応,general,small,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,3,ICUケージ,8000,t,酸素吸入可・重症患者用,icu,medium,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
38,3,犬用ケージ（小）,2900,t,小型犬・ホテル利用可,dog,small,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
39,3,犬用ケージ（大）,4200,t,大型犬・術後管理用,dog,large,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,3,猫用ケージ,3100,t,猫専用・ストレス軽減設計,cat,medium,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
101,2,城東 ICU-1,8500,t,高濃度酸素,icu,medium,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
102,2,城東 犬小-1,3200,t,一般,dog,small,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
103,2,城東 猫小-1,3200,t,一般,cat,small,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
104,2,城東 ICU-2,8500,t,高濃度酸素,icu,medium,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
105,2,城東 犬中-1,3500,t,一般,dog,medium,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
106,2,城東 犬大-1,4000,t,一般,dog,large,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
107,2,城東 猫小-2,3200,t,一般,cat,small,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
108,2,城東 汎用-1,2500,t,エキゾチック,general,small,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
201,3,敷島 ICU-1,7800,t,高濃度酸素,icu,medium,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
202,3,敷島 犬小-1,2900,t,一般,dog,small,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
203,3,敷島 猫小-1,2900,t,一般,cat,small,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
204,3,敷島 犬中-1,3200,t,一般,dog,medium,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
205,3,敷島 猫小-2,2900,t,一般,cat,small,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
206,3,敷島 隔離-1,5000,t,感染症,dog,medium,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
