id,clinic_id,name,category,unit_price,tax_type,tax_rate,is_active,sort_order,created_at,updated_at,deleted_at
18,2,時間外診療費,other,5200,excluded,0.10,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,3,ヒルズ i/d（犬用・消化器ケア）,food,3200,excluded,0.10,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,3,ペット用歯ブラシセット,goods,1200,excluded,0.10,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,3,時間外診療費,other,5100,excluded,0.10,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,2,療法食 腎臓サポート 1kg,food,3100,excluded,0.08,t,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,2,玩具（ラバートイ）,goods,600,excluded,0.10,t,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
40,3,療法食 満腹感サポート 3kg,food,4800,excluded,0.08,t,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
41,3,薬用シャンプー,goods,2800,excluded,0.10,t,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16001,1,猫療法食：WALTHAM,food,0,excluded,0.10,t,8,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16002,1,猫療法食：Eukanuba,food,0,excluded,0.10,t,9,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16003,1,猫療法食：SPECIFIC,food,0,excluded,0.10,t,10,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16004,1,猫療法食：Dr's Care,food,0,excluded,0.10,t,11,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16005,1,猫療法食：その他,food,0,excluded,0.10,t,12,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16006,1,犬一般食：Hill's,food,0,excluded,0.10,t,13,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16007,1,犬一般食：Nutro,food,0,excluded,0.10,t,14,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16008,1,犬一般食：AIMS,food,0,excluded,0.10,t,15,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16009,1,犬一般食：Eukanuba,food,0,excluded,0.10,t,16,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16010,1,犬一般食：Dr's Diet,food,0,excluded,0.10,t,17,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16011,1,犬一般食：その他,food,0,excluded,0.10,t,18,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16012,1,犬一般食：ちゅーるおやつ系,food,0,excluded,0.10,t,19,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16013,1,猫一般食：Hill's,food,0,excluded,0.10,t,20,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16014,1,猫一般食：Nutro,food,0,excluded,0.10,t,21,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16015,1,猫一般食：AIMS,food,0,excluded,0.10,t,22,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16016,1,猫一般食：Eukanuba,food,0,excluded,0.10,t,23,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16017,1,猫一般食：Dr's Diet,food,0,excluded,0.10,t,24,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16018,1,猫一般食：その他,food,0,excluded,0.10,t,25,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16019,1,猫一般食：ちゅーるおやつ系,food,0,excluded,0.10,t,26,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16020,1,エキゾFood,food,0,excluded,0.10,t,27,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16021,1,カラー / カラー,goods,0,excluded,0.10,t,28,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16022,1,エリザベスウェア / （分類なし）,goods,0,excluded,0.10,t,29,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16023,1,商品 / A：トリミング,goods,0,excluded,0.10,t,30,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16024,1,商品 / B：薬浴,goods,0,excluded,0.10,t,31,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16025,1,商品 / C：ペットホテル,goods,0,excluded,0.10,t,32,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16026,1,商品 / D：しつけ教室,goods,0,excluded,0.10,t,33,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16027,1,商品 / E：しつけGoods,goods,0,excluded,0.10,t,34,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16028,1,商品 / F：スナック,goods,0,excluded,0.10,t,35,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16029,1,商品 / G：会計,goods,0,excluded,0.10,t,36,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16030,1,商品 / H：その他,goods,0,excluded,0.10,t,37,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16031,1,商品 / I：シャンプー（TRIM販売）,goods,0,excluded,0.10,t,38,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16032,1,商品 / J：マイクロバブル,goods,0,excluded,0.10,t,39,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16033,1,商品 / K：エステ商品,goods,0,excluded,0.10,t,40,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16034,1,商品 / BOOK,goods,0,excluded,0.10,t,41,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16035,1,商品 / 犬種,goods,0,excluded,0.10,t,42,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16036,1,Virbac商品,other,0,excluded,0.10,t,43,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16037,1,Pump,other,0,excluded,0.10,t,44,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16038,1,診療Goods,other,0,excluded,0.10,t,45,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16039,1,在宅治療Goods,other,0,excluded,0.10,t,46,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16040,1,Shampoo,other,0,excluded,0.10,t,47,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16041,1,キャンペーン処理マスタ,other,0,excluded,0.10,t,48,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16042,1,文書料,other,0,excluded,0.10,t,49,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16043,1,会計,other,0,excluded,0.10,t,50,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16044,1,その他,other,0,excluded,0.10,t,51,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16045,1,L：トリミングカラー,other,0,excluded,0.10,t,52,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16046,1,M：トリミングハーブパック,other,0,excluded,0.10,t,53,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16047,1,キャンペーン2025,other,0,excluded,0.10,t,54,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16048,1,新キャンペーン,other,0,excluded,0.10,t,55,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16049,1,ヒルズ z/d 2kg,food,5800,excluded,0.08,t,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16050,1,ロイヤルカナン ユリナリーS/O 4kg,food,7200,excluded,0.08,t,0,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
